"PersonID","session","rt"
"125",2,2233.89285714286
"125",3,1857.5
"125",4,2045.5
"125",5,2063.1
"125",6,2007.5
"126",1,3462.43333333333
"126",2,1976.62068965517
"126",3,1996.78571428571
"126",4,2281.75
"126",5,2406.14285714286
"126",6,2584.07407407407
"127",1,2225.1
"127",2,2204.10714285714
"127",3,2300.56666666667
"127",4,2232.86206896552
"127",5,2073.24137931034
"127",6,1970.26666666667
"128",1,1634.84615384615
"128",2,1519.32142857143
"128",3,1606.38461538462
"128",4,1423.40740740741
"128",5,1555.8
"128",6,1579.13333333333
"129",1,2853.22222222222
"129",2,2274
"129",3,2162.1
"129",4,2342.96551724138
"129",5,2092.33333333333
"129",6,2050.56666666667
"130",1,1483.25925925926
"130",2,1890.46428571429
"130",3,1651.63333333333
"130",4,1206.5
"130",5,1596.13333333333
"130",6,1116.83333333333
"131",1,3065.34615384615
"131",2,3004.43333333333
"131",3,2957.76666666667
"131",4,2610.96551724138
"131",5,2716.06896551724
"131",6,2657.25
"132",1,2307.27586206897
"132",2,2422.80769230769
"132",3,2109.22222222222
"132",4,2147.66666666667
"132",5,2463.96666666667
"132",6,2149.20689655172
"133",1,1918.35714285714
"133",2,1613.34482758621
"133",3,1316.7037037037
"133",4,1492.06896551724
"133",5,1532.13793103448
"133",6,1366.37931034483
"136",1,2112.55555555556
"136",2,2050.36666666667
"136",3,1708.33333333333
"136",4,1609.06666666667
"136",5,1603.03333333333
"136",6,1480.73333333333
"137",1,4159.13636363636
"137",2,3185.07692307692
"137",3,2852.51724137931
"137",4,2354.76666666667
"137",5,2285.93103448276
"137",6,2211.46666666667
"138",1,2119.34615384615
"138",2,2281.62068965517
"138",3,2084.06666666667
"138",4,2107.75555555556
"138",5,2390.76086956522
"138",6,1972.23913043478
"139",1,3230.6
"139",2,3954.37209302326
"139",3,4086.13636363636
"139",4,3611.8
"139",5,3290.97826086957
"139",6,3226
"140",1,3293.42222222222
"140",2,2856.17777777778
"140",3,2485.37777777778
"140",4,2436.91304347826
"140",5,2338.93333333333
